feature,coefficient
PAY_0,0.5787198004781614
BILL_AMT2,0.2579055746878217
PAY_2,0.11959005619509978
PAY_3,0.0774923389869858
AGE,0.0686839008752484
BILL_AMT5,0.05073209983845671
BILL_AMT6,0.044787465525622336
PAY_4,0.030838714079873968
PAY_5,0.019717818034111878
BILL_AMT3,-0.0050268262927168714
PAY_6,-0.023588142573950956
PAY_AMT3,-0.0240566832400935
PAY_AMT6,-0.032951187407777666
BILL_AMT4,-0.042843301135352854
PAY_AMT5,-0.04720015548995269
SEX,-0.04781293766472574
MARRIAGE,-0.07651693492841395
EDUCATION,-0.08750867085153115
PAY_AMT4,-0.08916539118687304
LIMIT_BAL,-0.10883122583292455
PAY_AMT2,-0.16624073931299496
PAY_AMT1,-0.2418920973792493
BILL_AMT1,-0.4163476844407127
