threshold,accuracy,precision,recall,f1,true_positives,true_negatives,false_positives,false_negatives,predicted_positive_rate,expected_cost
0.05,0.225763,0.221887,0.996983,0.362987,1322,31,4636,4,0.99416,2338000
0.1,0.23394,0.223446,0.994721,0.364919,1319,83,4584,7,0.984982,2327000
0.15,0.250292,0.226085,0.985671,0.367806,1307,193,4474,19,0.964625,2332000
0.2,0.290839,0.23243,0.957768,0.37408,1270,473,4194,56,0.91173,2377000
0.25,0.337394,0.241042,0.928356,0.382714,1231,791,3876,95,0.852161,2413000
0.3,0.374937,0.247179,0.892157,0.387107,1183,1064,3603,143,0.798598,2516500
0.35,0.440013,0.261737,0.840875,0.399212,1115,1522,3145,211,0.710829,2627500
0.4,0.504255,0.278242,0.778281,0.40993,1032,1990,2677,294,0.618889,2808500
0.45,0.588186,0.312664,0.718703,0.435757,953,2572,2095,373,0.508593,2912500
0.5,0.686468,0.375619,0.629713,0.470555,835,3279,1388,491,0.370933,3149000
0.55,0.767729,0.477241,0.52187,0.498559,692,3909,758,634,0.241949,3549000
0.6,0.801769,0.56686,0.441176,0.496183,585,4220,447,741,0.172201,3928500
0.65,0.809778,0.60473,0.404977,0.485095,537,4316,351,789,0.148173,4120500
0.7,0.813449,0.646893,0.3454,0.450344,458,4417,250,868,0.118138,4465000
0.75,0.812782,0.711618,0.258673,0.379425,343,4528,139,983,0.080427,4984500
0.8,0.8001,0.740602,0.148567,0.247487,197,4598,69,1129,0.044385,5679500
0.85,0.787919,0.747748,0.062594,0.115518,83,4639,28,1243,0.018522,6229000
0.9,0.78258,0.767442,0.024887,0.04821,33,4657,10,1293,0.007175,6470000
0.95,0.780077,0.785714,0.008296,0.016418,11,4664,3,1315,0.002336,6576500
