threshold,accuracy,precision,recall,f1,true_positives,true_negatives,false_positives,false_negatives,predicted_positive_rate,expected_cost
0.05,0.221258,0.221165,0.999246,0.36217,1325,1,4666,1,0.999666,2338000
0.1,0.240781,0.225383,0.997738,0.367704,1323,120,4547,3,0.979476,2288500
0.15,0.284665,0.234344,0.984917,0.378606,1306,400,4267,20,0.929918,2233500
0.2,0.356082,0.251521,0.966817,0.39919,1282,852,3815,44,0.850492,2127500
0.25,0.436176,0.272344,0.926094,0.420908,1228,1386,3281,98,0.752378,2130500
0.3,0.522443,0.300623,0.873303,0.447277,1158,1973,2694,168,0.64275,2187000
0.35,0.603704,0.336145,0.811463,0.47537,1076,2542,2125,250,0.534123,2312500
0.4,0.667612,0.37123,0.723982,0.490798,960,3041,1626,366,0.431503,2643000
0.45,0.721675,0.420317,0.680241,0.519585,902,3423,1244,424,0.358084,2742000
0.5,0.752711,0.457424,0.631976,0.530716,838,3673,994,488,0.30569,2937000
0.55,0.778742,0.5,0.577677,0.536039,766,3901,766,560,0.255632,3183000
0.6,0.797097,0.542438,0.530166,0.536232,703,4074,593,623,0.216252,3411500
0.65,0.810446,0.589118,0.473605,0.525084,628,4229,438,698,0.177874,3709000
0.7,0.815785,0.623608,0.422323,0.503597,560,4329,338,766,0.149841,3999000
0.75,0.817787,0.653947,0.374811,0.47651,497,4404,263,829,0.126815,4276500
0.8,0.81979,0.688073,0.339367,0.454545,450,4463,204,876,0.109127,4482000
0.85,0.816953,0.717268,0.285068,0.407987,378,4518,149,948,0.087936,4814500
0.9,0.801268,0.750929,0.152338,0.253292,202,4600,67,1124,0.044886,5653500
0.95,0.780577,1.0,0.008296,0.016455,11,4667,0,1315,0.001835,6575000
